fold,case_file,n_samples,MAE,MAPE,RMSE,R2
1,value11,301,28169.41721860464,5.9360233813176615,325460.0051286257,0.7761841960013427
1,value15,301,764.429626578073,34.29730075884592,872.8729542724592,0.9972419359076906
1,value21,301,16583.2720564784,13.151277470674522,104465.27618171374,0.9755033131536912
1,value23,301,5154.1409262458465,12.712223737216508,19596.66567072189,0.9793220105997862
1,value29,301,2184.92968372093,8.60392873868625,3195.0546756048047,0.9972157848733713
1,value3,301,3473.7248787375415,11.656380109056032,32694.774656917903,0.7816388457346746
1,value31,301,20279.167198338866,8.295751595143944,58881.55412113922,0.9646769730063993
1,value33,301,1037.561010963455,5.810543085687136,1397.2695975829442,0.9978129427872159
1,value38,301,7849.576719601332,8.867459038532976,10579.96013172532,0.9742980095202772
2,value1,111,47244.91553063063,39.39116885210724,489442.25268950063,-6.269161198327612
2,value13,301,3429.637513953489,8.409271934183147,24005.819442886568,0.9594194709925894
2,value16,301,5307.820002990034,16.327310272472122,29885.23356748477,0.9980171671933925
2,value19,301,904.763101993356,13.178637444553523,1415.513487676731,0.9987503905360079
2,value2,301,8125.69225747508,19.788101488865127,86456.24775751634,0.235376166376715
2,value28,301,7086.685561129568,9.219441775481487,21539.704237580485,0.9912767739618027
2,value34,301,8197.026745847175,3.466620353286852,20780.0409465435,0.9969433268414577
2,value39,301,2912.5526817275754,4.334933572397308,3069.876852787561,0.9682159373473802
3,value18,301,1980.8662372093027,6.169192079811116,7805.267855975684,0.9963093641980507
3,value24,301,1163.3183920265776,6.104346815761389,2259.0225686213907,0.9971950971603799
3,value30,301,2961.547698671096,27.322598156894077,3848.2123334713633,0.9832778147021362
3,value32,301,2066.502040199335,5.122715044371306,2789.532682072041,0.9981717868578734
3,value37,301,50517.50450598006,9.958570177370605,83992.51236081851,0.9699617330156666
3,value4,301,1179.2204425249172,26.087813887362522,5651.251033082394,0.9877345997814244
3,value8,301,1678.7969764119603,5.360108322568399,9976.190103540304,0.9913494666722842
3,value9,301,1557.8278252491693,24.265014161314006,5978.045536046009,0.9899010782485977
4,value14,301,1627.6239624584716,34.456068214329854,2544.246120216446,0.9931208554418276
4,value20,301,472.74121926910277,5.490884746952141,816.0031463654354,0.9984733886678757
4,value25,301,768.8729451827243,8.506911503984915,1125.96675025477,0.9974465906601094
4,value27,301,37608.56019069767,8.971933614796992,147809.03351728088,0.9241804664713995
4,value35,301,4920.556725581395,8.95539044966779,5758.620910055099,0.9930605910055084
4,value5,301,680.8700584717608,22.897986011986067,2172.6272661436174,0.9979758581809778
4,value7,301,5148.164670431895,4.7246014854867635,44196.13968834733,0.9497524923055153
5,value10,301,581.4921302325582,6.707805545442847,4845.436912594914,0.9909212528027492
5,value12,301,6076.792502657808,4.472768235392474,50929.114969111724,0.9582499737096993
5,value17,301,13917.488736544847,5.525794060993377,87470.2952214956,0.8994747370787142
5,value22,301,18987.18973421927,12.671239830293846,109549.94986696378,0.8526248446716908
5,value26,301,129628.26560730896,19.654335110650273,609179.1273882937,0.8035648607386756
5,value36,301,1892.778967109635,6.475346952755206,3796.6181055034626,0.9768894885108212
5,value6,301,24327.07912724253,55.03570196606289,282890.0925732977,0.6998434801684943
