distance,true_kpa,pred_kpa,lower_kpa,upper_kpa,count
129.83171035311926,774.4295663551402,685.5772489119626,56.744464200961716,1314.4100336229635,535
409.9439325034068,218.67611588785047,207.1145566396262,159.698573314131,254.53053996512136,535
690.0560232772194,132.759185046729,128.04324652841117,98.3036128036971,157.78288025312526,535
959.959717923564,95.98171370967741,92.09700112258064,71.29451316707409,112.89948907808719,496
1229.8317975102204,72.91586728971963,70.3339553856075,55.338216730389654,85.32969404082533,535
1509.9437851918292,57.3467906542056,55.25397317364486,44.229263660517496,66.27868268677221,535
1790.0564654415755,46.372932710280374,44.969107477757014,37.259812348466134,52.67840260704789,535
2070.167736764539,38.12437943925234,37.034663349532714,31.54979493145102,42.5195317676144,535
2340.0405317132404,31.76015120967742,31.360469054032254,27.447552092918883,35.273386015145626,496
2609.9437647629643,27.474291588785047,27.096461793831775,24.022415496323664,30.170508091339887,535
2890.0560405740653,24.16943925233645,23.821693229532713,21.354563003779663,26.288823455285762,535
3170.1683163851667,21.499024299065418,20.87078704859813,18.444269054999484,23.29730504219678,535
3440.040817363337,19.03630241935484,18.62564493689516,16.41230900897574,20.83898086481458,496
3709.944317949694,17.35054205607477,17.10040120897196,15.246084340305927,18.95471807763799,535
3990.055615706555,15.963379439252336,15.671943835887854,13.874404189701833,17.469483482073873,535
4259.959300370905,14.400344758064517,14.062185549596775,12.19406176768166,15.93030933151189,496
4529.8315644032855,-9.487543925233645,-8.683031934766356,-17.783002417864065,0.4169385483313519,535
4809.943840214385,-12.289183177570093,-12.881847539252336,-15.094272706840702,-10.66942237166397,535
5090.056142459385,-13.09955140186916,-13.887067107102803,-16.546195136200314,-11.227939078005292,535
5359.959643045742,-14.460296370967743,-14.99512886310484,-20.167971752171375,-9.822285974038305,496
5629.832144023913,-15.36189158878505,-15.745013493457943,-20.862433225505868,-10.62759376141002,535
5890.065676183692,-15.953734204793031,-16.26432400130719,-20.70087364069811,-11.827774361916273,459
6199.997110257391,-101.325,-101.325,-101.325,-101.325,3
6499.994233243596,-101.325,-101.325,-101.325,-101.325,3
6750.005977867723,-101.325,-101.325,-101.325,-101.325,2
7000.003580356228,-101.325,-101.325,-101.325,-101.325,3
7300.000703342433,-101.325,-101.325,-101.325,-101.325,3
7549.998305830935,-101.325,-101.325,-101.325,-101.325,2
7799.99590831944,-101.325,-101.325,-101.325,-101.325,3
8099.997745350852,-101.325,-101.325,-101.325,-101.325,3
8400.004296427473,-101.325,-101.325,-101.325,-101.325,3
8650.001898915976,-101.325,-101.325,-101.325,-101.325,2
8899.999501404482,-101.325,-101.325,-101.325,-101.325,3
9199.996624390684,-101.325,-101.325,-101.325,-101.325,3
9499.998461422098,-101.325,-101.325,-101.325,-101.325,3
9750.005492001017,-101.325,-101.325,-101.325,-101.325,2
10000.00309448952,-101.325,-101.325,-101.325,-101.325,3
10300.000217475725,-101.325,-101.325,-101.325,-101.325,3
10599.99734046193,-101.325,-101.325,-101.325,-101.325,3
10899.994463448134,-101.325,-101.325,-101.325,-101.325,3
